일자,구분,종목번호,수량,거래대금,미수발생/변제,세전이자,수수료,연체료,상대처,변동금액,대출일,처리자,
01,,KT&G Corp,0,,,,3604,,,62012071,,,
20260412,은행이체외화입금,USD,,1342,,0,0,,,1342,,,
01,,,0,,,,0,,,21519.36,,,
20260408,장내_매수,A035420,1,230000,,0,34,,,230000,,,
01,,NAVER Corp,230000,,,,0,,,61992275,,,
20260405,은행이체입금,,,1648000,,0,0,,,1648000,,,
01,,,0,,,,0,,,62222309,,,
20260328,배당금,A005930,1,110000,,0,0,,,110000,,,
01,,Samsung Electronics,0,,,,16940,,,60574309,,,
20260322,장내_매도,A005930,2,170000,,0,25,,,170000,,,
01,,Samsung Electronics,85000,,,,306,,,60481249,,,
20260315,배당금,A033780,1,23050,,0,0,,,23050,,,
01,,KT&G Corp,0,,,,3550,,,60311580,,,
20260308,장내_매수,A005930,9,765000,,0,115,,,765000,,,
01,,Samsung Electronics,85000,,,,0,,,60292080,,,
20260305,은행이체입금,,,1636000,,0,0,,,1636000,,,
01,,,0,,,,0,,,61057195,,,
20260220,해외배당금,USD,,14.24,,0,0,,,14.24,,,
01,,,0,,,,2.14,,,20177.36,,,
20260218,해외증권_해외주식매수,US9229087690,3,846,,0,0.42,,,846,,,
01,,Vanguard Total Stock Market ETF,282,,,,0,,,20165.26,,,
20260215,배당금,A033780,1,22700,,0,0,,,22700,,,
01,,KT&G Corp,0,,,,3496,,,59421195,,,
20260212,은행이체외화입금,USD,,1326,,0,0,,,1326,,,
01,,,0,,,,0,,,21011.68,,,
20260208,장내_매수,A033780,6,588000,,0,88,,,588000,,,
01,,KT&G Corp,98000,,,,0,,,59401991,,,
20260205,은행이체입금,,,1624000,,0,0,,,1624000,,,
01,,,0,,,,0,,,59990079,,,
20260115,배당금,A033780,1,22350,,0,0,,,22350,,,
01,,KT&G Corp,0,,,,3442,,,58366079,,,
20260108,장내_매수,A068270,2,390000,,0,58,,,390000,,,
01,,Celltrion,195000,,,,0,,,58347171,,,
20260105,은행이체입금,,,1612000,,0,0,,,1612000,,,
01,,,0,,,,0,,,58737229,,,
20251222,장내_매도,A068270,1,195000,,0,29,,,195000,,,
01,,Celltrion,195000,,,,351,,,57125229,,,
20251220,해외배당금,USD,,86.5,,0,0,,,86.5,,,
01,,,0,,,,12.97,,,19685.68,,,
20251220,해외배당금,USD,,14.59,,0,0,,,14.59,,,
01,,,0,,,,2.19,,,19612.15,,,
20251218,해외증권_해외주식매수,US46138G6492,1,445,,0,0.22,,,445,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,19599.75,,,
20251215,배당금,A033780,1,24900,,0,0,,,24900,,,
01,,KT&G Corp,0,,,,3835,,,56930609,,,
20251212,은행이체외화입금,USD,,1351,,0,0,,,1351,,,
01,,,0,,,,0,,,20044.97,,,
20251208,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,56909544,,,
20251205,은행이체입금,,,1674000,,0,0,,,1674000,,,
01,,,0,,,,0,,,57319605,,,
20251124,해외증권_해외주식매도,US9229087690,1,282,,0,0.14,,,282,,,
01,,Vanguard Total Stock Market ETF,282,,,,0.01,,,18693.97,,,
20251115,배당금,A033780,1,24550,,0,0,,,24550,,,
01,,KT&G Corp,0,,,,3781,,,55645605,,,
20251108,장내_매수,A035420,3,690000,,0,103,,,690000,,,
01,,NAVER Corp,230000,,,,0,,,55624836,,,
20251105,은행이체입금,,,1662000,,0,0,,,1662000,,,
01,,,0,,,,0,,,56314939,,,
20251020,해외배당금,USD,,14.35,,0,0,,,14.35,,,
01,,,0,,,,2.15,,,18412.12,,,
20251018,해외증권_해외주식매수,US5801351017,2,612,,0,0.31,,,612,,,
01,,McDonald's Corp,306,,,,0,,,18399.92,,,
20251015,배당금,A033780,1,24200,,0,0,,,24200,,,
01,,KT&G Corp,0,,,,3727,,,54652939,,,
20251012,은행이체외화입금,USD,,1335,,0,0,,,1335,,,
01,,,0,,,,0,,,19012.23,,,
20251008,장내_매수,A005930,7,595000,,0,89,,,595000,,,
01,,Samsung Electronics,85000,,,,0,,,54632466,,,
20251005,은행이체입금,,,1650000,,0,0,,,1650000,,,
01,,,0,,,,0,,,55227555,,,
20250927,배당금,A033780,1,84800,,0,0,,,84800,,,
01,,KT&G Corp,0,,,,13059,,,53577555,,,
20250922,장내_매도,A005930,2,170000,,0,25,,,170000,,,
01,,Samsung Electronics,85000,,,,306,,,53505814,,,
20250915,배당금,A033780,1,23850,,0,0,,,23850,,,
01,,KT&G Corp,0,,,,3673,,,53336145,,,
20250908,장내_매수,A033780,5,490000,,0,74,,,490000,,,
01,,KT&G Corp,98000,,,,0,,,53315968,,,
20250905,은행이체입금,,,1638000,,0,0,,,1638000,,,
01,,,0,,,,0,,,53806042,,,
20250820,해외배당금,USD,,14.11,,0,0,,,14.11,,,
01,,,0,,,,2.12,,,17677.23,,,
20250818,해외증권_해외주식매수,US46138G6492,2,890,,0,0.45,,,890,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,17665.24,,,
20250815,배당금,A033780,1,23500,,0,0,,,23500,,,
01,,KT&G Corp,0,,,,3619,,,52168042,,,
20250812,은행이체외화입금,USD,,1319,,0,0,,,1319,,,
01,,,0,,,,0,,,18555.69,,,
20250808,장내_매수,A068270,2,390000,,0,58,,,390000,,,
01,,Celltrion,195000,,,,0,,,52148161,,,
20250805,은행이체입금,,,1626000,,0,0,,,1626000,,,
01,,,0,,,,0,,,52538219,,,
20250715,배당금,A033780,1,23150,,0,0,,,23150,,,
01,,KT&G Corp,0,,,,3565,,,50912219,,,
20250708,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,50892634,,,
20250705,은행이체입금,,,1614000,,0,0,,,1614000,,,
01,,,0,,,,0,,,51302695,,,
20250624,해외배당금,USD,,71.5,,0,0,,,71.5,,,
01,,,0,,,,10.72,,,17236.69,,,
20250622,장내_매도,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,738,,,49688695,,,
20250620,해외배당금,USD,,13.87,,0,0,,,13.87,,,
01,,,0,,,,2.08,,,17175.91,,,
20250618,해외증권_해외주식매수,US5801351017,1,306,,0,0.15,,,306,,,
01,,McDonald's Corp,306,,,,0,,,17164.12,,,
20250615,배당금,A033780,1,22800,,0,0,,,22800,,,
01,,KT&G Corp,0,,,,3511,,,49279494,,,
20250612,은행이체외화입금,USD,,1303,,0,0,,,1303,,,
01,,,0,,,,0,,,17470.27,,,
20250608,장내_매수,A035420,2,460000,,0,69,,,460000,,,
01,,NAVER Corp,230000,,,,0,,,49260205,,,
20250605,은행이체입금,,,1602000,,0,0,,,1602000,,,
01,,,0,,,,0,,,49720274,,,
20250524,해외증권_해외주식매도,US9229087690,1,282,,0,0.14,,,282,,,
01,,Vanguard Total Stock Market ETF,282,,,,0.01,,,16167.27,,,
20250515,배당금,A033780,1,22450,,0,0,,,22450,,,
01,,KT&G Corp,0,,,,3457,,,48118274,,,
20250508,장내_매수,A005930,6,510000,,0,76,,,510000,,,
01,,Samsung Electronics,85000,,,,0,,,48099281,,,
20250505,은행이체입금,,,1590000,,0,0,,,1590000,,,
01,,,0,,,,0,,,48609357,,,
20250420,해외배당금,USD,,13.63,,0,0,,,13.63,,,
01,,,0,,,,2.04,,,15885.42,,,
20250418,해외증권_해외주식매수,US46138G6492,1,445,,0,0.22,,,445,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,15873.83,,,
20250415,배당금,A033780,1,22100,,0,0,,,22100,,,
01,,KT&G Corp,0,,,,3403,,,47019357,,,
20250412,은행이체외화입금,USD,,1287,,0,0,,,1287,,,
01,,,0,,,,0,,,16319.05,,,
20250408,장내_매수,A033780,4,392000,,0,59,,,392000,,,
01,,KT&G Corp,98000,,,,0,,,47000660,,,
20250405,은행이체입금,,,1578000,,0,0,,,1578000,,,
01,,,0,,,,0,,,47392719,,,
20250328,배당금,A005930,1,103500,,0,0,,,103500,,,
01,,Samsung Electronics,0,,,,15939,,,45814719,,,
20250322,장내_매도,A033780,2,196000,,0,29,,,196000,,,
01,,KT&G Corp,98000,,,,353,,,45727158,,,
20250315,배당금,A033780,1,21750,,0,0,,,21750,,,
01,,KT&G Corp,0,,,,3350,,,45531540,,,
20250308,장내_매수,A068270,4,780000,,0,117,,,780000,,,
01,,Celltrion,195000,,,,0,,,45513140,,,
20250305,은행이체입금,,,1566000,,0,0,,,1566000,,,
01,,,0,,,,0,,,46293257,,,
20250220,해외배당금,USD,,13.39,,0,0,,,13.39,,,
01,,,0,,,,2.01,,,15032.05,,,
20250218,해외증권_해외주식매수,US5801351017,2,612,,0,0.31,,,612,,,
01,,McDonald's Corp,306,,,,0,,,15020.67,,,
20250215,배당금,A033780,1,21400,,0,0,,,21400,,,
01,,KT&G Corp,0,,,,3296,,,44727257,,,
20250212,은행이체외화입금,USD,,1271,,0,0,,,1271,,,
01,,,0,,,,0,,,15632.98,,,
20250208,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,44709153,,,
20250205,은행이체입금,,,1554000,,0,0,,,1554000,,,
01,,,0,,,,0,,,45119214,,,
20250115,배당금,A033780,1,21050,,0,0,,,21050,,,
01,,KT&G Corp,0,,,,3242,,,43565214,,,
20250108,장내_매수,A035420,2,460000,,0,69,,,460000,,,
01,,NAVER Corp,230000,,,,0,,,43547406,,,
20250105,은행이체입금,,,1542000,,0,0,,,1542000,,,
01,,,0,,,,0,,,44007475,,,
20241222,장내_매도,A051910,1,380000,,0,57,,,380000,,,
01,,LG Chem,380000,,,,684,,,42465475,,,
20241220,해외배당금,USD,,80.0,,0,0,,,80.0,,,
01,,,0,,,,12.0,,,14361.98,,,
20241220,해외배당금,USD,,13.74,,0,0,,,13.74,,,
01,,,0,,,,2.06,,,14293.98,,,
20241218,해외증권_해외주식매수,US9229087690,2,516,,0,0.26,,,516,,,
01,,Vanguard Total Stock Market ETF,258,,,,0,,,14282.3,,,
20241215,배당금,A033780,1,23600,,0,0,,,23600,,,
01,,KT&G Corp,0,,,,3634,,,42086216,,,
20241212,은행이체외화입금,USD,,1296,,0,0,,,1296,,,
01,,,0,,,,0,,,14798.56,,,
20241208,장내_매수,A005930,5,395000,,0,59,,,395000,,,
01,,Samsung Electronics,79000,,,,0,,,42066250,,,
20241205,은행이체입금,,,1604000,,0,0,,,1604000,,,
01,,,0,,,,0,,,42461309,,,
20241124,해외증권_해외주식매도,US9229087690,1,258,,0,0.13,,,258,,,
01,,Vanguard Total Stock Market ETF,258,,,,0.01,,,13502.56,,,
20241115,배당금,A033780,1,23250,,0,0,,,23250,,,
01,,KT&G Corp,0,,,,3580,,,40857309,,,
20241108,장내_매수,A033780,8,760000,,0,114,,,760000,,,
01,,KT&G Corp,95000,,,,0,,,40837639,,,
20241105,은행이체입금,,,1592000,,0,0,,,1592000,,,
01,,,0,,,,0,,,41597753,,,
20241020,해외배당금,USD,,13.5,,0,0,,,13.5,,,
01,,,0,,,,2.02,,,13244.7,,,
20241018,해외증권_해외주식매수,US1912161007,11,671,,0,0.34,,,671,,,
01,,Coca-Cola Co.,61,,,,0,,,13233.22,,,
20241015,배당금,A033780,1,22900,,0,0,,,22900,,,
01,,KT&G Corp,0,,,,3527,,,40005753,,,
20241012,은행이체외화입금,USD,,1280,,0,0,,,1280,,,
01,,,0,,,,0,,,13904.56,,,
20241008,장내_매수,A068270,3,555000,,0,83,,,555000,,,
01,,Celltrion,185000,,,,0,,,39986380,,,
20241005,은행이체입금,,,1580000,,0,0,,,1580000,,,
01,,,0,,,,0,,,40541463,,,
20240927,배당금,A033780,1,79600,,0,0,,,79600,,,
01,,KT&G Corp,0,,,,12258,,,38961463,,,
20240922,장내_매도,A033780,2,190000,,0,28,,,190000,,,
01,,KT&G Corp,95000,,,,342,,,38894121,,,
20240915,배당금,A033780,1,22550,,0,0,,,22550,,,
01,,KT&G Corp,0,,,,3473,,,38704491,,,
20240908,장내_매수,A051910,1,380000,,0,57,,,380000,,,
01,,LG Chem,380000,,,,0,,,38685414,,,
20240905,은행이체입금,,,1568000,,0,0,,,1568000,,,
01,,,0,,,,0,,,39065471,,,
20240820,해외배당금,USD,,13.26,,0,0,,,13.26,,,
01,,,0,,,,1.99,,,12624.56,,,
20240818,해외증권_해외주식매수,US9229087690,3,774,,0,0.39,,,774,,,
01,,Vanguard Total Stock Market ETF,258,,,,0,,,12613.29,,,
20240815,배당금,A033780,1,22200,,0,0,,,22200,,,
01,,KT&G Corp,0,,,,3419,,,37497471,,,
20240812,은행이체외화입금,USD,,1264,,0,0,,,1264,,,
01,,,0,,,,0,,,13387.68,,,
20240808,장내_매수,A035420,2,420000,,0,63,,,420000,,,
01,,NAVER Corp,210000,,,,0,,,37478690,,,
20240805,은행이체입금,,,1556000,,0,0,,,1556000,,,
01,,,0,,,,0,,,37898753,,,
20240715,배당금,A033780,1,21850,,0,0,,,21850,,,
01,,KT&G Corp,0,,,,3365,,,36342753,,,
20240708,장내_매수,A005930,9,711000,,0,107,,,711000,,,
01,,Samsung Electronics,79000,,,,0,,,36324268,,,
20240705,은행이체입금,,,1544000,,0,0,,,1544000,,,
01,,,0,,,,0,,,37035375,,,
20240624,해외배당금,USD,,66.0,,0,0,,,66.0,,,
01,,,0,,,,9.9,,,12123.68,,,
20240622,장내_매도,A035420,1,210000,,0,31,,,210000,,,
01,,NAVER Corp,210000,,,,378,,,35491375,,,
20240620,해외배당금,USD,,13.02,,0,0,,,13.02,,,
01,,,0,,,,1.95,,,12067.58,,,
20240618,해외증권_해외주식매수,US1912161007,8,488,,0,0.24,,,488,,,
01,,Coca-Cola Co.,61,,,,0,,,12056.51,,,
20240615,배당금,A033780,1,21500,,0,0,,,21500,,,
01,,KT&G Corp,0,,,,3311,,,35281784,,,
20240612,은행이체외화입금,USD,,1248,,0,0,,,1248,,,
01,,,0,,,,0,,,12544.75,,,
20240608,장내_매수,A033780,6,570000,,0,85,,,570000,,,
01,,KT&G Corp,95000,,,,0,,,35263595,,,
20240605,은행이체입금,,,1532000,,0,0,,,1532000,,,
01,,,0,,,,0,,,35833680,,,
20240524,해외증권_해외주식매도,US9229087690,1,258,,0,0.13,,,258,,,
01,,Vanguard Total Stock Market ETF,258,,,,0.01,,,11296.75,,,
20240515,배당금,A033780,1,21150,,0,0,,,21150,,,
01,,KT&G Corp,0,,,,3257,,,34301680,,,
20240508,장내_매수,A068270,2,370000,,0,55,,,370000,,,
01,,Celltrion,185000,,,,0,,,34283787,,,
20240505,은행이체입금,,,1520000,,0,0,,,1520000,,,
01,,,0,,,,0,,,34653842,,,
20240420,해외배당금,USD,,12.78,,0,0,,,12.78,,,
01,,,0,,,,1.92,,,11038.89,,,
20240418,해외증권_해외주식매수,US9229087690,2,516,,0,0.26,,,516,,,
01,,Vanguard Total Stock Market ETF,258,,,,0,,,11028.03,,,
20240415,배당금,A033780,1,20800,,0,0,,,20800,,,
01,,KT&G Corp,0,,,,3203,,,33133842,,,
20240412,은행이체외화입금,USD,,1232,,0,0,,,1232,,,
01,,,0,,,,0,,,11544.29,,,
20240408,장내_매수,A051910,1,380000,,0,57,,,380000,,,
01,,LG Chem,380000,,,,0,,,33116245,,,
20240405,은행이체입금,,,1508000,,0,0,,,1508000,,,
01,,,0,,,,0,,,33496302,,,
20240328,배당금,A005930,1,97000,,0,0,,,97000,,,
01,,Samsung Electronics,0,,,,14938,,,31988302,,,
20240322,장내_매도,A068270,2,370000,,0,55,,,370000,,,
01,,Celltrion,185000,,,,666,,,31906240,,,
20240315,배당금,A033780,1,20450,,0,0,,,20450,,,
01,,KT&G Corp,0,,,,3149,,,31536961,,,
20240308,장내_매수,A035420,3,630000,,0,94,,,630000,,,
01,,NAVER Corp,210000,,,,0,,,31519660,,,
20240305,은행이체입금,,,1496000,,0,0,,,1496000,,,
01,,,0,,,,0,,,32149754,,,
20240220,해외배당금,USD,,12.54,,0,0,,,12.54,,,
01,,,0,,,,1.88,,,10312.29,,,
20240218,해외증권_해외주식매수,US1912161007,14,854,,0,0.43,,,854,,,
01,,Coca-Cola Co.,61,,,,0,,,10301.63,,,
20240215,배당금,A033780,1,20100,,0,0,,,20100,,,
01,,KT&G Corp,0,,,,3095,,,30653754,,,
20240212,은행이체외화입금,USD,,1216,,0,0,,,1216,,,
01,,,0,,,,0,,,11156.06,,,
20240208,장내_매수,A005930,8,632000,,0,95,,,632000,,,
01,,Samsung Electronics,79000,,,,0,,,30636749,,,
20240205,은행이체입금,,,1484000,,0,0,,,1484000,,,
01,,,0,,,,0,,,31268844,,,
20240115,배당금,A033780,1,19750,,0,0,,,19750,,,
01,,KT&G Corp,0,,,,3042,,,29784844,,,
20240108,장내_매수,A033780,5,475000,,0,71,,,475000,,,
01,,KT&G Corp,95000,,,,0,,,29768136,,,
20240105,은행이체입금,,,1472000,,0,0,,,1472000,,,
01,,,0,,,,0,,,30243207,,,
20231222,장내_매도,A035420,1,190000,,0,28,,,190000,,,
01,,NAVER Corp,190000,,,,342,,,28771207,,,
20231220,해외배당금,USD,,73.5,,0,0,,,73.5,,,
01,,,0,,,,11.03,,,9940.06,,,
20231220,해외배당금,USD,,12.89,,0,0,,,12.89,,,
01,,,0,,,,1.93,,,9877.59,,,
20231218,해외증권_해외주식매수,US5801351017,1,278,,0,0.14,,,278,,,
01,,McDonald's Corp,278,,,,0,,,9866.63,,,
20231215,배당금,A033780,1,22300,,0,0,,,22300,,,
01,,KT&G Corp,0,,,,3434,,,28581577,,,
20231212,은행이체외화입금,USD,,1241,,0,0,,,1241,,,
01,,,0,,,,0,,,10144.77,,,
20231208,장내_매수,A068270,2,350000,,0,52,,,350000,,,
01,,Celltrion,175000,,,,0,,,28562711,,,
20231205,은행이체입금,,,1534000,,0,0,,,1534000,,,
01,,,0,,,,0,,,28912763,,,
20231203,은행이체출금,,,2700000,,0,0,,,2700000,,,
01,,,0,,,,0,,,27378763,,,
20231124,해외증권_해외주식매도,US9229087690,1,236,,0,0.12,,,236,,,
01,,Vanguard Total Stock Market ETF,236,,,,0.01,,,8903.77,,,
20231115,배당금,A033780,1,21950,,0,0,,,21950,,,
01,,KT&G Corp,0,,,,3380,,,30078763,,,
20231108,장내_매수,A051910,1,430000,,0,64,,,430000,,,
01,,LG Chem,430000,,,,0,,,30060193,,,
20231105,은행이체입금,,,1522000,,0,0,,,1522000,,,
01,,,0,,,,0,,,30490257,,,
20231020,해외배당금,USD,,12.65,,0,0,,,12.65,,,
01,,,0,,,,1.9,,,8667.9,,,
20231018,해외증권_해외주식매수,US46138G6492,2,690,,0,0.35,,,690,,,
01,,INVESCO NASDAQ 100,345,,,,0,,,8657.15,,,
20231015,배당금,A033780,1,21600,,0,0,,,21600,,,
01,,KT&G Corp,0,,,,3326,,,28968257,,,
20231012,은행이체외화입금,USD,,1225,,0,0,,,1225,,,
01,,,0,,,,0,,,9347.5,,,
20231008,장내_매수,A035420,3,570000,,0,85,,,570000,,,
01,,NAVER Corp,190000,,,,0,,,28949983,,,
20231005,은행이체입금,,,1510000,,0,0,,,1510000,,,
01,,,0,,,,0,,,29520068,,,
20230927,배당금,A033780,1,74400,,0,0,,,74400,,,
01,,KT&G Corp,0,,,,11458,,,28010068,,,
20230922,장내_매도,A068270,2,350000,,0,52,,,350000,,,
01,,Celltrion,175000,,,,630,,,27947126,,,
20230915,배당금,A033780,1,21250,,0,0,,,21250,,,
01,,KT&G Corp,0,,,,3272,,,27597808,,,
20230908,장내_매수,A005930,6,492000,,0,74,,,492000,,,
01,,Samsung Electronics,82000,,,,0,,,27579830,,,
20230905,은행이체입금,,,1498000,,0,0,,,1498000,,,
01,,,0,,,,0,,,28071904,,,
20230820,해외배당금,USD,,12.41,,0,0,,,12.41,,,
01,,,0,,,,1.86,,,8122.5,,,
20230818,해외증권_해외주식매수,US5801351017,3,834,,0,0.42,,,834,,,
01,,McDonald's Corp,278,,,,0,,,8111.95,,,
20230815,배당금,A033780,1,20900,,0,0,,,20900,,,
01,,KT&G Corp,0,,,,3219,,,26573904,,,
20230812,은행이체외화입금,USD,,1209,,0,0,,,1209,,,
01,,,0,,,,0,,,8946.37,,,
20230808,장내_매수,A033780,4,360000,,0,54,,,360000,,,
01,,KT&G Corp,90000,,,,0,,,26556223,,,
20230805,은행이체입금,,,1486000,,0,0,,,1486000,,,
01,,,0,,,,0,,,26916277,,,
20230715,배당금,A033780,1,20550,,0,0,,,20550,,,
01,,KT&G Corp,0,,,,3165,,,25430277,,,
20230708,장내_매수,A068270,4,700000,,0,105,,,700000,,,
01,,Celltrion,175000,,,,0,,,25412892,,,
20230705,은행이체입금,,,1474000,,0,0,,,1474000,,,
01,,,0,,,,0,,,26112997,,,
20230624,해외배당금,USD,,60.5,,0,0,,,60.5,,,
01,,,0,,,,9.07,,,7737.37,,,
20230622,장내_매도,A005930,1,82000,,0,12,,,82000,,,
01,,Samsung Electronics,82000,,,,148,,,24638997,,,
20230620,해외배당금,USD,,12.17,,0,0,,,12.17,,,
01,,,0,,,,1.83,,,7685.94,,,
20230618,해외증권_해외주식매수,US46138G6492,1,345,,0,0.17,,,345,,,
01,,INVESCO NASDAQ 100,345,,,,0,,,7675.6,,,
20230615,배당금,A033780,1,20200,,0,0,,,20200,,,
01,,KT&G Corp,0,,,,3111,,,24557157,,,
20230612,은행이체외화입금,USD,,1193,,0,0,,,1193,,,
01,,,0,,,,0,,,8020.77,,,
20230608,장내_매수,A051910,1,430000,,0,64,,,430000,,,
01,,LG Chem,430000,,,,0,,,24540068,,,
20230605,은행이체입금,,,1462000,,0,0,,,1462000,,,
01,,,0,,,,0,,,24970132,,,
20230524,해외증권_해외주식매도,US9229087690,1,236,,0,0.12,,,236,,,
01,,Vanguard Total Stock Market ETF,236,,,,0.01,,,6827.77,,,
20230515,배당금,A033780,1,19850,,0,0,,,19850,,,
01,,KT&G Corp,0,,,,3057,,,23508132,,,
20230508,장내_매수,A035420,2,380000,,0,57,,,380000,,,
01,,NAVER Corp,190000,,,,0,,,23491339,,,
20230505,은행이체입금,,,1450000,,0,0,,,1450000,,,
01,,,0,,,,0,,,23871396,,,
20230420,해외배당금,USD,,11.93,,0,0,,,11.93,,,
01,,,0,,,,1.79,,,6591.9,,,
20230418,해외증권_해외주식매수,US5801351017,2,556,,0,0.28,,,556,,,
01,,McDonald's Corp,278,,,,0,,,6581.76,,,
20230415,배당금,A033780,1,19500,,0,0,,,19500,,,
01,,KT&G Corp,0,,,,3003,,,22421396,,,
20230412,은행이체외화입금,USD,,1177,,0,0,,,1177,,,
01,,,0,,,,0,,,7138.04,,,
20230408,장내_매수,A005930,5,410000,,0,61,,,410000,,,
01,,Samsung Electronics,82000,,,,0,,,22404899,,,
20230405,은행이체입금,,,1438000,,0,0,,,1438000,,,
01,,,0,,,,0,,,22814960,,,
20230328,배당금,A005930,1,90500,,0,0,,,90500,,,
01,,Samsung Electronics,0,,,,13937,,,21376960,,,
20230322,장내_매도,A051910,2,860000,,0,129,,,860000,,,
01,,LG Chem,430000,,,,1548,,,21300397,,,
20230315,배당금,A033780,1,19150,,0,0,,,19150,,,
01,,KT&G Corp,0,,,,2949,,,20442074,,,
20230308,장내_매수,A033780,8,720000,,0,108,,,720000,,,
01,,KT&G Corp,90000,,,,0,,,20425873,,,
20230305,은행이체입금,,,1426000,,0,0,,,1426000,,,
01,,,0,,,,0,,,21145981,,,
20230220,해외배당금,USD,,11.69,,0,0,,,11.69,,,
01,,,0,,,,1.75,,,5961.04,,,
20230218,해외증권_해외주식매수,US46138G6492,2,690,,0,0.35,,,690,,,
01,,INVESCO NASDAQ 100,345,,,,0,,,5951.1,,,
20230215,배당금,A033780,1,18800,,0,0,,,18800,,,
01,,KT&G Corp,0,,,,2895,,,19719981,,,
20230212,은행이체외화입금,USD,,1161,,0,0,,,1161,,,
01,,,0,,,,0,,,6641.45,,,
20230208,장내_매수,A068270,3,525000,,0,79,,,525000,,,
01,,Celltrion,175000,,,,0,,,19704076,,,
20230205,은행이체입금,,,1414000,,0,0,,,1414000,,,
01,,,0,,,,0,,,20229155,,,
20230115,배당금,A033780,1,18450,,0,0,,,18450,,,
01,,KT&G Corp,0,,,,2841,,,18815155,,,
20230108,장내_매수,A051910,1,430000,,0,64,,,430000,,,
01,,LG Chem,430000,,,,0,,,18799546,,,
20230105,은행이체입금,,,1402000,,0,0,,,1402000,,,
01,,,0,,,,0,,,19229610,,,
20221222,장내_매도,A005930,1,76000,,0,11,,,76000,,,
01,,Samsung Electronics,76000,,,,137,,,17827610,,,
20221220,해외배당금,USD,,67.0,,0,0,,,67.0,,,
01,,,0,,,,10.05,,,5480.45,,,
20221220,해외배당금,USD,,12.04,,0,0,,,12.04,,,
01,,,0,,,,1.81,,,5423.5,,,
20221218,해외증권_해외주식매수,US1912161007,8,496,,0,0.25,,,496,,,
01,,Coca-Cola Co.,62,,,,0,,,5413.27,,,
20221215,배당금,A033780,1,21000,,0,0,,,21000,,,
01,,KT&G Corp,0,,,,3234,,,17751758,,,
20221212,은행이체외화입금,USD,,1186,,0,0,,,1186,,,
01,,,0,,,,0,,,5909.52,,,
20221208,장내_매수,A035420,1,220000,,0,33,,,220000,,,
01,,NAVER Corp,220000,,,,0,,,17733992,,,
20221205,은행이체입금,,,1464000,,0,0,,,1464000,,,
