일자,구분,종목번호,수량,거래대금,미수발생/변제,세전이자,수수료,연체료,상대처,변동금액,대출일,처리자,
01,,KT&G Corp,0,,,,3604,,,37373074,,,
20260412,은행이체외화입금,USD,,1342,,0,0,,,1342,,,
01,,,0,,,,0,,,13546.12,,,
20260408,장내_매수,A035420,1,230000,,0,34,,,230000,,,
01,,NAVER Corp,230000,,,,0,,,37353278,,,
20260405,은행이체입금,,,1648000,,0,0,,,1648000,,,
01,,,0,,,,0,,,37583312,,,
20260328,배당금,A005930,1,110000,,0,0,,,110000,,,
01,,Samsung Electronics,0,,,,16940,,,35935312,,,
20260322,장내_매도,A005930,2,170000,,0,25,,,170000,,,
01,,Samsung Electronics,85000,,,,306,,,35842252,,,
20260315,배당금,A033780,1,23050,,0,0,,,23050,,,
01,,KT&G Corp,0,,,,3550,,,35672583,,,
20260308,장내_매수,A005930,9,765000,,0,115,,,765000,,,
01,,Samsung Electronics,85000,,,,0,,,35653083,,,
20260305,은행이체입금,,,1636000,,0,0,,,1636000,,,
01,,,0,,,,0,,,36418198,,,
20260220,해외배당금,USD,,14.24,,0,0,,,14.24,,,
01,,,0,,,,2.14,,,12204.12,,,
20260218,해외증권_해외주식매수,US9229087690,3,846,,0,0.42,,,846,,,
01,,Vanguard Total Stock Market ETF,282,,,,0,,,12192.02,,,
20260215,배당금,A033780,1,22700,,0,0,,,22700,,,
01,,KT&G Corp,0,,,,3496,,,34782198,,,
20260212,은행이체외화입금,USD,,1326,,0,0,,,1326,,,
01,,,0,,,,0,,,13038.44,,,
20260208,장내_매수,A033780,6,588000,,0,88,,,588000,,,
01,,KT&G Corp,98000,,,,0,,,34762994,,,
20260205,은행이체입금,,,1624000,,0,0,,,1624000,,,
01,,,0,,,,0,,,35351082,,,
20260115,배당금,A033780,1,22350,,0,0,,,22350,,,
01,,KT&G Corp,0,,,,3442,,,33727082,,,
20260108,장내_매수,A068270,2,390000,,0,58,,,390000,,,
01,,Celltrion,195000,,,,0,,,33708174,,,
20260105,은행이체입금,,,1612000,,0,0,,,1612000,,,
01,,,0,,,,0,,,34098232,,,
20251222,장내_매도,A068270,1,195000,,0,29,,,195000,,,
01,,Celltrion,195000,,,,351,,,32486232,,,
20251220,해외배당금,USD,,86.5,,0,0,,,86.5,,,
01,,,0,,,,12.97,,,11712.44,,,
20251220,해외배당금,USD,,14.59,,0,0,,,14.59,,,
01,,,0,,,,2.19,,,11638.91,,,
20251218,해외증권_해외주식매수,US46138G6492,1,445,,0,0.22,,,445,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,11626.51,,,
20251215,배당금,A033780,1,24900,,0,0,,,24900,,,
01,,KT&G Corp,0,,,,3835,,,32291612,,,
20251212,은행이체외화입금,USD,,1351,,0,0,,,1351,,,
01,,,0,,,,0,,,12071.73,,,
20251208,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,32270547,,,
20251205,은행이체입금,,,1674000,,0,0,,,1674000,,,
01,,,0,,,,0,,,32680608,,,
20251124,해외증권_해외주식매도,US9229087690,1,282,,0,0.14,,,282,,,
01,,Vanguard Total Stock Market ETF,282,,,,0.01,,,10720.73,,,
20251115,배당금,A033780,1,24550,,0,0,,,24550,,,
01,,KT&G Corp,0,,,,3781,,,31006608,,,
20251108,장내_매수,A035420,3,690000,,0,103,,,690000,,,
01,,NAVER Corp,230000,,,,0,,,30985839,,,
20251105,은행이체입금,,,1662000,,0,0,,,1662000,,,
01,,,0,,,,0,,,31675942,,,
20251020,해외배당금,USD,,14.35,,0,0,,,14.35,,,
01,,,0,,,,2.15,,,10438.88,,,
20251018,해외증권_해외주식매수,US5801351017,2,612,,0,0.31,,,612,,,
01,,McDonald's Corp,306,,,,0,,,10426.68,,,
20251015,배당금,A033780,1,24200,,0,0,,,24200,,,
01,,KT&G Corp,0,,,,3727,,,30013942,,,
20251012,은행이체외화입금,USD,,1335,,0,0,,,1335,,,
01,,,0,,,,0,,,11038.99,,,
20251008,장내_매수,A005930,7,595000,,0,89,,,595000,,,
01,,Samsung Electronics,85000,,,,0,,,29993469,,,
20251005,은행이체입금,,,1650000,,0,0,,,1650000,,,
01,,,0,,,,0,,,30588558,,,
20250927,배당금,A033780,1,84800,,0,0,,,84800,,,
01,,KT&G Corp,0,,,,13059,,,28938558,,,
20250922,장내_매도,A005930,2,170000,,0,25,,,170000,,,
01,,Samsung Electronics,85000,,,,306,,,28866817,,,
20250915,배당금,A033780,1,23850,,0,0,,,23850,,,
01,,KT&G Corp,0,,,,3673,,,28697148,,,
20250908,장내_매수,A033780,5,490000,,0,74,,,490000,,,
01,,KT&G Corp,98000,,,,0,,,28676971,,,
20250905,은행이체입금,,,1638000,,0,0,,,1638000,,,
01,,,0,,,,0,,,29167045,,,
20250820,해외배당금,USD,,14.11,,0,0,,,14.11,,,
01,,,0,,,,2.12,,,9703.99,,,
20250818,해외증권_해외주식매수,US46138G6492,2,890,,0,0.45,,,890,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,9692,,,
20250815,배당금,A033780,1,23500,,0,0,,,23500,,,
01,,KT&G Corp,0,,,,3619,,,27529045,,,
20250812,은행이체외화입금,USD,,1319,,0,0,,,1319,,,
01,,,0,,,,0,,,10582.45,,,
20250808,장내_매수,A068270,2,390000,,0,58,,,390000,,,
01,,Celltrion,195000,,,,0,,,27509164,,,
20250805,은행이체입금,,,1626000,,0,0,,,1626000,,,
01,,,0,,,,0,,,27899222,,,
20250715,배당금,A033780,1,23150,,0,0,,,23150,,,
01,,KT&G Corp,0,,,,3565,,,26273222,,,
20250708,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,26253637,,,
20250705,은행이체입금,,,1614000,,0,0,,,1614000,,,
01,,,0,,,,0,,,26663698,,,
20250624,해외배당금,USD,,71.5,,0,0,,,71.5,,,
01,,,0,,,,10.72,,,9263.45,,,
20250622,장내_매도,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,738,,,25049698,,,
20250620,해외배당금,USD,,13.87,,0,0,,,13.87,,,
01,,,0,,,,2.08,,,9202.67,,,
20250618,해외증권_해외주식매수,US5801351017,1,306,,0,0.15,,,306,,,
01,,McDonald's Corp,306,,,,0,,,9190.88,,,
20250615,배당금,A033780,1,22800,,0,0,,,22800,,,
01,,KT&G Corp,0,,,,3511,,,24640497,,,
20250612,은행이체외화입금,USD,,1303,,0,0,,,1303,,,
01,,,0,,,,0,,,9497.03,,,
20250608,장내_매수,A035420,2,460000,,0,69,,,460000,,,
01,,NAVER Corp,230000,,,,0,,,24621208,,,
20250605,은행이체입금,,,1602000,,0,0,,,1602000,,,
01,,,0,,,,0,,,25081277,,,
20250524,해외증권_해외주식매도,US9229087690,1,282,,0,0.14,,,282,,,
01,,Vanguard Total Stock Market ETF,282,,,,0.01,,,8194.03,,,
20250515,배당금,A033780,1,22450,,0,0,,,22450,,,
01,,KT&G Corp,0,,,,3457,,,23479277,,,
20250508,장내_매수,A005930,6,510000,,0,76,,,510000,,,
01,,Samsung Electronics,85000,,,,0,,,23460284,,,
20250505,은행이체입금,,,1590000,,0,0,,,1590000,,,
01,,,0,,,,0,,,23970360,,,
20250420,해외배당금,USD,,13.63,,0,0,,,13.63,,,
01,,,0,,,,2.04,,,7912.18,,,
20250418,해외증권_해외주식매수,US46138G6492,1,445,,0,0.22,,,445,,,
01,,INVESCO NASDAQ 100,445,,,,0,,,7900.59,,,
20250415,배당금,A033780,1,22100,,0,0,,,22100,,,
01,,KT&G Corp,0,,,,3403,,,22380360,,,
20250412,은행이체외화입금,USD,,1287,,0,0,,,1287,,,
01,,,0,,,,0,,,8345.81,,,
20250408,장내_매수,A033780,4,392000,,0,59,,,392000,,,
01,,KT&G Corp,98000,,,,0,,,22361663,,,
20250405,은행이체입금,,,1578000,,0,0,,,1578000,,,
01,,,0,,,,0,,,22753722,,,
20250328,배당금,A005930,1,103500,,0,0,,,103500,,,
01,,Samsung Electronics,0,,,,15939,,,21175722,,,
20250322,장내_매도,A033780,2,196000,,0,29,,,196000,,,
01,,KT&G Corp,98000,,,,353,,,21088161,,,
20250315,배당금,A033780,1,21750,,0,0,,,21750,,,
01,,KT&G Corp,0,,,,3350,,,20892543,,,
20250308,장내_매수,A068270,4,780000,,0,117,,,780000,,,
01,,Celltrion,195000,,,,0,,,20874143,,,
20250305,은행이체입금,,,1566000,,0,0,,,1566000,,,
01,,,0,,,,0,,,21654260,,,
20250220,해외배당금,USD,,13.39,,0,0,,,13.39,,,
01,,,0,,,,2.01,,,7058.81,,,
20250218,해외증권_해외주식매수,US5801351017,2,612,,0,0.31,,,612,,,
01,,McDonald's Corp,306,,,,0,,,7047.43,,,
20250215,배당금,A033780,1,21400,,0,0,,,21400,,,
01,,KT&G Corp,0,,,,3296,,,20088260,,,
20250212,은행이체외화입금,USD,,1271,,0,0,,,1271,,,
01,,,0,,,,0,,,7659.74,,,
20250208,장내_매수,A051910,1,410000,,0,61,,,410000,,,
01,,LG Chem,410000,,,,0,,,20070156,,,
20250205,은행이체입금,,,1554000,,0,0,,,1554000,,,
01,,,0,,,,0,,,20480217,,,
20250115,배당금,A033780,1,21050,,0,0,,,21050,,,
01,,KT&G Corp,0,,,,3242,,,18926217,,,
20250108,장내_매수,A035420,2,460000,,0,69,,,460000,,,
01,,NAVER Corp,230000,,,,0,,,18908409,,,
20250105,은행이체입금,,,1542000,,0,0,,,1542000,,,
01,,,0,,,,0,,,19368478,,,
20241222,장내_매도,A051910,1,380000,,0,57,,,380000,,,
01,,LG Chem,380000,,,,684,,,17826478,,,
20241220,해외배당금,USD,,80.0,,0,0,,,80.0,,,
01,,,0,,,,12.0,,,6388.74,,,
20241220,해외배당금,USD,,13.74,,0,0,,,13.74,,,
01,,,0,,,,2.06,,,6320.74,,,
20241218,해외증권_해외주식매수,US9229087690,2,516,,0,0.26,,,516,,,
01,,Vanguard Total Stock Market ETF,258,,,,0,,,6309.06,,,
20241215,배당금,A033780,1,23600,,0,0,,,23600,,,
01,,KT&G Corp,0,,,,3634,,,17447219,,,
20241212,은행이체외화입금,USD,,1296,,0,0,,,1296,,,
01,,,0,,,,0,,,6825.32,,,
20241208,장내_매수,A005930,5,395000,,0,59,,,395000,,,
01,,Samsung Electronics,79000,,,,0,,,17427253,,,
20241205,은행이체입금,,,1604000,,0,0,,,1604000,,,
01,,,0,,,,0,,,17822312,,,
20241124,해외증권_해외주식매도,US9229087690,1,258,,0,0.13,,,258,,,
01,,Vanguard Total Stock Market ETF,258,,,,0.01,,,5529.32,,,
20241115,배당금,A033780,1,23250,,0,0,,,23250,,,
01,,KT&G Corp,0,,,,3580,,,16218312,,,
20241108,장내_매수,A033780,8,760000,,0,114,,,760000,,,
01,,KT&G Corp,95000,,,,0,,,16198642,,,
20241105,은행이체입금,,,1592000,,0,0,,,1592000,,,
01,,,0,,,,0,,,16958756,,,
20241020,해외배당금,USD,,13.5,,0,0,,,13.5,,,
01,,,0,,,,2.02,,,5271.46,,,
20241018,해외증권_해외주식매수,US1912161007,11,671,,0,0.34,,,671,,,
01,,Coca-Cola Co.,61,,,,0,,,5259.98,,,
20241015,배당금,A033780,1,22900,,0,0,,,22900,,,
01,,KT&G Corp,0,,,,3527,,,15366756,,,
20241012,은행이체외화입금,USD,,1280,,0,0,,,1280,,,
01,,,0,,,,0,,,5931.32,,,
20241008,장내_매수,A068270,3,555000,,0,83,,,555000,,,
01,,Celltrion,185000,,,,0,,,15347383,,,
20241005,은행이체입금,,,1580000,,0,0,,,1580000,,,
01,,,0,,,,0,,,15902466,,,
20240927,배당금,A033780,1,79600,,0,0,,,79600,,,
01,,KT&G Corp,0,,,,12258,,,14322466,,,
20240922,장내_매도,A033780,2,190000,,0,28,,,190000,,,
01,,KT&G Corp,95000,,,,342,,,14255124,,,
20240915,배당금,A033780,1,22550,,0,0,,,22550,,,
01,,KT&G Corp,0,,,,3473,,,14065494,,,
20240908,장내_매수,A051910,1,380000,,0,57,,,380000,,,
01,,LG Chem,380000,,,,0,,,14046417,,,
20240905,은행이체입금,,,1568000,,0,0,,,1568000,,,
01,,,0,,,,0,,,14426474,,,
20240820,해외배당금,USD,,13.26,,0,0,,,13.26,,,
01,,,0,,,,1.99,,,4651.32,,,
20240818,해외증권_해외주식매수,US9229087690,3,774,,0,0.39,,,774,,,
01,,Vanguard Total Stock Market ETF,258,,,,0,,,4640.05,,,
20240815,배당금,A033780,1,22200,,0,0,,,22200,,,
01,,KT&G Corp,0,,,,3419,,,12858474,,,
20240812,은행이체외화입금,USD,,1264,,0,0,,,1264,,,
01,,,0,,,,0,,,5414.44,,,
20240808,장내_매수,A035420,2,420000,,0,63,,,420000,,,
01,,NAVER Corp,210000,,,,0,,,12839693,,,
20240805,은행이체입금,,,1556000,,0,0,,,1556000,,,
01,,,0,,,,0,,,13259756,,,
20240715,배당금,A033780,1,21850,,0,0,,,21850,,,
01,,KT&G Corp,0,,,,3365,,,11703756,,,
20240708,장내_매수,A005930,9,711000,,0,107,,,711000,,,
01,,Samsung Electronics,79000,,,,0,,,11685271,,,
20240705,은행이체입금,,,1544000,,0,0,,,1544000,,,
01,,,0,,,,0,,,12396378,,,
20240624,해외배당금,USD,,66.0,,0,0,,,66.0,,,
01,,,0,,,,9.9,,,4150.44,,,
20240622,장내_매도,A035420,1,210000,,0,31,,,210000,,,
01,,NAVER Corp,210000,,,,378,,,10852378,,,
20240620,해외배당금,USD,,13.02,,0,0,,,13.02,,,
01,,,0,,,,1.95,,,4094.34,,,
20240618,해외증권_해외주식매수,US1912161007,8,488,,0,0.24,,,488,,,
01,,Coca-Cola Co.,61,,,,0,,,4083.27,,,
20240615,배당금,A033780,1,21500,,0,0,,,21500,,,
01,,KT&G Corp,0,,,,3311,,,10642787,,,
20240612,은행이체외화입금,USD,,1248,,0,0,,,1248,,,
01,,,0,,,,0,,,4571.51,,,
20240608,장내_매수,A033780,6,570000,,0,85,,,570000,,,
01,,KT&G Corp,95000,,,,0,,,10624598,,,
20240605,은행이체입금,,,1532000,,0,0,,,1532000,,,
01,,,0,,,,0,,,11194683,,,
20240524,해외증권_해외주식매도,US9229087690,1,258,,0,0.13,,,258,,,
01,,Vanguard Total Stock Market ETF,258,,,,0.01,,,3323.51,,,
20240515,배당금,A033780,1,21150,,0,0,,,21150,,,
01,,KT&G Corp,0,,,,3257,,,9662683,,,
20240508,장내_매수,A068270,2,370000,,0,55,,,370000,,,
01,,Celltrion,185000,,,,0,,,9644790,,,
20240505,은행이체입금,,,1520000,,0,0,,,1520000,,,
01,,,0,,,,0,,,10014845,,,
20240420,해외배당금,USD,,12.78,,0,0,,,12.78,,,
01,,,0,,,,1.92,,,3065.65,,,
20240418,해외증권_해외주식매수,US9229087690,2,516,,0,0.26,,,516,,,
01,,Vanguard Total Stock Market ETF,258,,,,0,,,3054.79,,,
20240415,배당금,A033780,1,20800,,0,0,,,20800,,,
01,,KT&G Corp,0,,,,3203,,,8494845,,,
20240412,은행이체외화입금,USD,,1232,,0,0,,,1232,,,
01,,,0,,,,0,,,3571.05,,,
20240408,장내_매수,A051910,1,380000,,0,57,,,380000,,,
01,,LG Chem,380000,,,,0,,,8477248,,,
20240405,은행이체입금,,,1508000,,0,0,,,1508000,,,
01,,,0,,,,0,,,8857305,,,
20240328,배당금,A005930,1,97000,,0,0,,,97000,,,
01,,Samsung Electronics,0,,,,14938,,,7349305,,,
20240322,장내_매도,A068270,2,370000,,0,55,,,370000,,,
01,,Celltrion,185000,,,,666,,,7267243,,,
20240315,배당금,A033780,1,20450,,0,0,,,20450,,,
01,,KT&G Corp,0,,,,3149,,,6897964,,,
20240308,장내_매수,A035420,3,630000,,0,94,,,630000,,,
01,,NAVER Corp,210000,,,,0,,,6880663,,,
20240305,은행이체입금,,,1496000,,0,0,,,1496000,,,
01,,,0,,,,0,,,7510757,,,
20240220,해외배당금,USD,,12.54,,0,0,,,12.54,,,
01,,,0,,,,1.88,,,2339.05,,,
20240218,해외증권_해외주식매수,US1912161007,14,854,,0,0.43,,,854,,,
01,,Coca-Cola Co.,61,,,,0,,,2328.39,,,
20240215,배당금,A033780,1,20100,,0,0,,,20100,,,
01,,KT&G Corp,0,,,,3095,,,6014757,,,
20240212,은행이체외화입금,USD,,1216,,0,0,,,1216,,,
01,,,0,,,,0,,,3182.82,,,
20240208,장내_매수,A005930,8,632000,,0,95,,,632000,,,
01,,Samsung Electronics,79000,,,,0,,,5997752,,,
20240205,은행이체입금,,,1484000,,0,0,,,1484000,,,
01,,,0,,,,0,,,6629847,,,
20240115,배당금,A033780,1,19750,,0,0,,,19750,,,
01,,KT&G Corp,0,,,,3042,,,5145847,,,
20240108,장내_매수,A033780,5,475000,,0,71,,,475000,,,
01,,KT&G Corp,95000,,,,0,,,5129139,,,
20240105,은행이체입금,,,1472000,,0,0,,,1472000,,,
01,,,0,,,,0,,,5604210,,,
20231222,장내_매도,A035420,1,190000,,0,28,,,190000,,,
01,,NAVER Corp,190000,,,,342,,,4132210,,,
20231220,해외배당금,USD,,73.5,,0,0,,,73.5,,,
01,,,0,,,,11.03,,,1966.82,,,
20231220,해외배당금,USD,,12.89,,0,0,,,12.89,,,
01,,,0,,,,1.93,,,1904.35,,,
20231218,해외증권_해외주식매수,US5801351017,1,278,,0,0.14,,,278,,,
01,,McDonald's Corp,278,,,,0,,,1893.39,,,
20231215,배당금,A033780,1,22300,,0,0,,,22300,,,
01,,KT&G Corp,0,,,,3434,,,3942580,,,
20231212,은행이체외화입금,USD,,1241,,0,0,,,1241,,,
01,,,0,,,,0,,,2171.53,,,
20231208,장내_매수,A068270,2,350000,,0,52,,,350000,,,
01,,Celltrion,175000,,,,0,,,3923714,,,
20231205,은행이체입금,,,1534000,,0,0,,,1534000,,,
01,,,0,,,,0,,,4273766,,,
20231203,은행이체출금,,,2700000,,0,0,,,2700000,,,
01,,,0,,,,0,,,2739766,,,
20231115,배당금,A033780,1,21950,,0,0,,,21950,,,
01,,KT&G Corp,0,,,,3380,,,5439766,,,
20231108,장내_매수,A051910,1,430000,,0,64,,,430000,,,
01,,LG Chem,430000,,,,0,,,5421196,,,
20231105,은행이체입금,,,1522000,,0,0,,,1522000,,,
01,,,0,,,,0,,,5851260,,,
20231020,해외배당금,USD,,12.65,,0,0,,,12.65,,,
01,,,0,,,,1.9,,,930.53,,,
20231018,해외증권_해외주식매수,US46138G6492,2,690,,0,0.35,,,690,,,
01,,INVESCO NASDAQ 100,345,,,,0,,,919.78,,,
20231015,배당금,A033780,1,21600,,0,0,,,21600,,,
01,,KT&G Corp,0,,,,3326,,,4329260,,,
20231012,은행이체외화입금,USD,,1225,,0,0,,,1225,,,
01,,,0,,,,0,,,1610.13,,,
20231008,장내_매수,A035420,3,570000,,0,85,,,570000,,,
01,,NAVER Corp,190000,,,,0,,,4310986,,,
20231005,은행이체입금,,,1510000,,0,0,,,1510000,,,
01,,,0,,,,0,,,4881071,,,
20230927,배당금,A033780,1,74400,,0,0,,,74400,,,
01,,KT&G Corp,0,,,,11458,,,3371071,,,
20230922,장내_매도,A068270,2,350000,,0,52,,,350000,,,
01,,Celltrion,175000,,,,630,,,3308129,,,
20230915,배당금,A033780,1,21250,,0,0,,,21250,,,
01,,KT&G Corp,0,,,,3272,,,2958811,,,
20230908,장내_매수,A005930,6,492000,,0,74,,,492000,,,
01,,Samsung Electronics,82000,,,,0,,,2940833,,,
20230905,은행이체입금,,,1498000,,0,0,,,1498000,,,
01,,,0,,,,0,,,3432907,,,
20230820,해외배당금,USD,,12.41,,0,0,,,12.41,,,
01,,,0,,,,1.86,,,385.13,,,
20230818,해외증권_해외주식매수,US5801351017,3,834,,0,0.42,,,834,,,
01,,McDonald's Corp,278,,,,0,,,374.58,,,
20230815,배당금,A033780,1,20900,,0,0,,,20900,,,
01,,KT&G Corp,0,,,,3219,,,1934907,,,
20230812,은행이체외화입금,USD,,1209,,0,0,,,1209,,,
01,,,0,,,,0,,,1209,,,
20230808,장내_매수,A033780,4,360000,,0,54,,,360000,,,
01,,KT&G Corp,90000,,,,0,,,1917226,,,
20230805,은행이체입금,,,1486000,,0,0,,,1486000,,,
01,,,0,,,,0,,,2277280,,,
20230715,배당금,A033780,1,20550,,0,0,,,20550,,,
01,,KT&G Corp,0,,,,3165,,,791280,,,
20230708,장내_매수,A068270,4,700000,,0,105,,,700000,,,
01,,Celltrion,175000,,,,0,,,773895,,,
20230705,은행이체입금,,,1474000,,0,0,,,1474000,,,
01,,,0,,,,0,,,1474000,,,
